page_url,file_url,file_name,anchor_text,type,associated_product
https://www.al-enterprise.com/en/products/wlan/omniaccess-stellar-access-point-1360,https://www.al-enterprise.com/-/media/assets/internet/documents/omniaccess-stellar-oaw-ap1360-datasheet-en.pdf,omniaccess-stellar-oaw-ap1360-datasheet-en.pdf,OmniAccess Stellar AP1360 series,Datasheet,OmniAccess Stellar AP1360 Series
https://www.al-enterprise.com/en/products/wlan/omniaccess-stellar-access-point-1261,https://www.al-enterprise.com/-/media/assets/internet/documents/omniaccess-stellar-oaw-ap1261-datasheet-en.pdf,omniaccess-stellar-oaw-ap1261-datasheet-en.pdf,OmniAccess Stellar AP1261,Datasheet,OmniAccess Stellar AP1261
https://www.al-enterprise.com/en/products/devices/ale-deskphones,https://www.al-enterprise.com/-/media/assets/internet/documents/ale-deskphones-basic-range-datasheet-en.pdf,ale-deskphones-basic-range-datasheet-en.pdf,ALE DeskPhone Basic range,Datasheet,ALE DeskPhones
https://www.al-enterprise.com/en/products/devices/ale-deskphones,https://www.al-enterprise.com/-/media/assets/internet/documents/ale-deskphones-ecatalog-brochure-en.pdf,ale-deskphones-ecatalog-brochure-en.pdf,ALE DeskPhones Interactive catalogue,Brochure,ALE DeskPhones
https://www.al-enterprise.com/en/products/devices/ale-deskphones,https://www.al-enterprise.com/-/media/assets/internet/documents/ale-deskphones-enterprise-series-datasheet-en.pdf,ale-deskphones-enterprise-series-datasheet-en.pdf,ALE DeskPhones Enterprise range,Datasheet,ALE DeskPhones
https://www.al-enterprise.com/en/products/devices/ale-deskphones,https://www.al-enterprise.com/-/media/assets/internet/documents/ale-deskphones-essential-datasheet-en.pdf,ale-deskphones-essential-datasheet-en.pdf,ALE DeskPhones Essential range,Datasheet,ALE DeskPhones
https://www.al-enterprise.com/en/products/devices/ale-deskphones,https://www.al-enterprise.com/-/media/assets/internet/documents/em200-smart-expansion-module-datasheet-en.pdf,em200-smart-expansion-module-datasheet-en.pdf,EM200 Smart Expansion Module,Datasheet,ALE DeskPhones
https://www.al-enterprise.com/en/products/devices/ale-deskphones,https://www.al-enterprise.com/-/media/assets/internet/documents/alcatel-lucent-enterprise-ale-120-key-expansion-module-datasheet-en.pdf,alcatel-lucent-enterprise-ale-120-key-expansion-module-datasheet-en.pdf,ALE-120 Key Expansion Module,Datasheet,ALE DeskPhones
https://www.al-enterprise.com/en/products/devices/ale-sip-deskphones,https://www.al-enterprise.com/-/media/assets/internet/documents/m8-deskphone-datasheet-en.pdf,m8-deskphone-datasheet-en.pdf,M8 SIP DeskPhone,Datasheet,ALE SIP DeskPhones
https://www.al-enterprise.com/en/products/devices/ale-sip-deskphones,https://www.al-enterprise.com/-/media/assets/internet/documents/m7s-deskphone-datasheet-en.pdf,m7s-deskphone-datasheet-en.pdf,M7s SIP DeskPhone,Datasheet,ALE SIP DeskPhones
https://www.al-enterprise.com/en/products/devices/ale-sip-deskphones,https://www.al-enterprise.com/-/media/assets/internet/documents/m7s-pro-deskphone-datasheet-en.pdf,m7s-pro-deskphone-datasheet-en.pdf,M7s Pro SIP DeskPhone,Datasheet,ALE SIP DeskPhones
https://www.al-enterprise.com/en/products/devices/ale-sip-deskphones,https://www.al-enterprise.com/-/media/assets/internet/documents/m7-deskphone-datasheet-en.pdf,m7-deskphone-datasheet-en.pdf,M7 SIP DeskPhone,Datasheet,ALE SIP DeskPhones
https://www.al-enterprise.com/en/products/devices/ale-sip-deskphones,https://www.al-enterprise.com/-/media/assets/internet/documents/m5s-deskphone-datasheet-en.pdf,m5s-deskphone-datasheet-en.pdf,M5s SIP DeskPhone,Datasheet,ALE SIP DeskPhones
https://www.al-enterprise.com/en/products/devices/ale-sip-deskphones,https://www.al-enterprise.com/-/media/assets/internet/documents/m5-deskphone-datasheet-en.pdf,m5-deskphone-datasheet-en.pdf,M5 SIP DeskPhone,Datasheet,ALE SIP DeskPhones
https://www.al-enterprise.com/en/products/devices/ale-sip-deskphones,https://www.al-enterprise.com/-/media/assets/internet/documents/m3s-deskphone-datasheet-en.pdf,m3s-deskphone-datasheet-en.pdf,M3s SIP DeskPhone,Datasheet,ALE SIP DeskPhones
https://www.al-enterprise.com/en/products/devices/ale-sip-deskphones,https://www.al-enterprise.com/-/media/assets/internet/documents/ale-sip-deskphones-ecatalog-brochure-en.pdf,ale-sip-deskphones-ecatalog-brochure-en.pdf,ALE SIP DeskPhones eCatalogue,Brochure,ALE SIP DeskPhones
